conditions,image_file,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_response_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
4,D:\收集箱\图片\三体\三体2.png,0,0,0,3,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
2,D:\收集箱\图片\三体\红岸基地.jpg,0,1,1,1,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
1,D:\收集箱\图片\三体\timg.jpg,0,2,2,0,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
3,D:\收集箱\图片\三体\三体.jpg,0,3,3,2,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
2,D:\收集箱\图片\三体\红岸基地.jpg,1,0,4,1,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
4,D:\收集箱\图片\三体\三体2.png,1,1,5,3,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
3,D:\收集箱\图片\三体\三体.jpg,1,2,6,2,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
1,D:\收集箱\图片\三体\timg.jpg,1,3,7,0,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
4,D:\收集箱\图片\三体\三体2.png,2,0,8,3,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
2,D:\收集箱\图片\三体\红岸基地.jpg,2,1,9,1,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
1,D:\收集箱\图片\三体\timg.jpg,2,2,10,0,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
3,D:\收集箱\图片\三体\三体.jpg,2,3,11,2,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
2,D:\收集箱\图片\三体\红岸基地.jpg,3,0,12,1,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
3,D:\收集箱\图片\三体\三体.jpg,3,1,13,2,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
4,D:\收集箱\图片\三体\三体2.png,3,2,14,3,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
1,D:\收集箱\图片\三体\timg.jpg,3,3,15,0,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
4,D:\收集箱\图片\三体\三体2.png,4,0,16,3,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
1,D:\收集箱\图片\三体\timg.jpg,4,1,17,0,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
2,D:\收集箱\图片\三体\红岸基地.jpg,4,2,18,1,None,1,001,2018_Dec_25_2322,toast,3.0.0b13,59.990443086490636,
