7.5620 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.9880 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0EF6E970>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1C42FB70>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9881 	EXP 	window1: recordFrameIntervals = False
9.1704 	EXP 	window1: recordFrameIntervals = True
9.3541 	EXP 	window1: recordFrameIntervals = False
9.4395 	EXP 	Created instruction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instruction', opacity=1.0, ori=0, pos=array([0. , 0.8]), rgb=array([255., 255., 255.]), text='指导语：\n现在你想要连接wifi', units='norm', win=Window(...), wrapWidth=1)
9.4439 	EXP 	Created background = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='background', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128, units='norm', win=Window(...))
9.4474 	EXP 	Created toast = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='toast', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), size=array([0.5, 0.2]), texRes=128, units='norm', win=Window(...))
9.4699 	EXP 	Imported ..\..\收集箱\toast study\conditions.xlsx as conditions, 4 conditions, 2 params
9.4708 	EXP 	Created sequence: random, trialTypes=4, nReps=5, seed=None
9.4714 	EXP 	New trial (rep=0, index=0): OrderedDict([('conditions', 3), ('image_file', 'D:\\收集箱\\图片\\三体\\三体.jpg')])
9.7045 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体.jpg'
9.7045 	EXP 	instruction: autoDraw = True
11.5040 	EXP 	toast: autoDraw = True
11.7711 	DATA 	Keypress: space
11.7720 	EXP 	New trial (rep=0, index=1): OrderedDict([('conditions', 2), ('image_file', 'D:\\收集箱\\图片\\三体\\红岸基地.jpg')])
11.8539 	EXP 	background: autoDraw = True
11.8539 	EXP 	instruction: autoDraw = False
11.8539 	EXP 	background: autoDraw = False
11.8539 	EXP 	toast: autoDraw = False
11.8539 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\红岸基地.jpg'
11.8539 	EXP 	instruction: autoDraw = True
13.8041 	EXP 	toast: autoDraw = True
15.8049 	DATA 	Keypress: space
15.8057 	EXP 	New trial (rep=0, index=2): OrderedDict([('conditions', 1), ('image_file', 'D:\\收集箱\\图片\\三体\\timg.jpg')])
15.8712 	EXP 	background: autoDraw = True
15.8712 	EXP 	instruction: autoDraw = False
15.8712 	EXP 	background: autoDraw = False
15.8712 	EXP 	toast: autoDraw = False
15.8712 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\timg.jpg'
15.8712 	EXP 	instruction: autoDraw = True
17.8377 	EXP 	toast: autoDraw = True
18.3549 	DATA 	Keypress: space
18.3559 	EXP 	New trial (rep=0, index=3): OrderedDict([('conditions', 4), ('image_file', 'D:\\收集箱\\图片\\三体\\三体2.png')])
18.4881 	EXP 	background: autoDraw = True
18.4881 	EXP 	instruction: autoDraw = False
18.4881 	EXP 	background: autoDraw = False
18.4881 	EXP 	toast: autoDraw = False
18.4881 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体2.png'
18.4881 	EXP 	instruction: autoDraw = True
20.3878 	EXP 	toast: autoDraw = True
20.8717 	DATA 	Keypress: space
20.8725 	EXP 	New trial (rep=1, index=0): OrderedDict([('conditions', 1), ('image_file', 'D:\\收集箱\\图片\\三体\\timg.jpg')])
20.9547 	EXP 	background: autoDraw = True
20.9547 	EXP 	instruction: autoDraw = False
20.9547 	EXP 	background: autoDraw = False
20.9547 	EXP 	toast: autoDraw = False
20.9547 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\timg.jpg'
20.9547 	EXP 	instruction: autoDraw = True
22.5055 	DATA 	Keypress: space
22.5063 	EXP 	New trial (rep=1, index=1): OrderedDict([('conditions', 4), ('image_file', 'D:\\收集箱\\图片\\三体\\三体2.png')])
22.6214 	EXP 	background: autoDraw = True
22.6214 	EXP 	instruction: autoDraw = False
22.6214 	EXP 	background: autoDraw = False
22.6214 	EXP 	toast: autoDraw = False
22.6214 	EXP 	background: image = 'D:\\收集箱\\图片\\三体\\三体2.png'
22.6214 	EXP 	instruction: autoDraw = True
23.2551 	DATA 	Keypress: space
